model_name,run_id,cue_word,aura_positive_fraction,aura_negative_fraction,aura_net_valence,total_associations
compatible_dataset_MANX_LLM_MistralSmall4,0012d7d7a8,mathematic,0.0,1.0,-1.0,3
compatible_dataset_MANX_LLM_MistralSmall4,0012d7d7a8,physics,0.6666666666666666,0.3333333333333333,0.3333333333333333,3
compatible_dataset_MANX_LLM_MistralSmall4,0012d7d7a8,science,0.3333333333333333,0.6666666666666666,-0.3333333333333333,3
compatible_dataset_MANX_LLM_MistralSmall4,001813a015,mathematic,0.0,1.0,-1.0,2
compatible_dataset_MANX_LLM_MistralSmall4,001813a015,physics,0.5,0.5,0.0,2
compatible_dataset_MANX_LLM_MistralSmall4,001813a015,science,1.0,0.0,1.0,2
compatible_dataset_MANX_LLM_MistralSmall4,003fe47f22,mathematic,0.0,1.0,-1.0,3
compatible_dataset_MANX_LLM_MistralSmall4,003fe47f22,physics,0.3333333333333333,0.6666666666666666,-0.3333333333333333,3
compatible_dataset_MANX_LLM_MistralSmall4,003fe47f22,science,1.0,0.0,1.0,3
compatible_dataset_MANX_LLM_MistralSmall4,0056295ec2,mathematic,0.0,1.0,-1.0,3
compatible_dataset_MANX_LLM_MistralSmall4,0056295ec2,physics,0.3333333333333333,0.3333333333333333,0.0,3
compatible_dataset_MANX_LLM_MistralSmall4,0056295ec2,science,1.0,0.0,1.0,3
compatible_dataset_MANX_LLM_MistralSmall4,0072f71c2f,mathematic,0.0,1.0,-1.0,3
compatible_dataset_MANX_LLM_MistralSmall4,0072f71c2f,physics,0.3333333333333333,0.3333333333333333,0.0,3
compatible_dataset_MANX_LLM_MistralSmall4,0072f71c2f,science,1.0,0.0,1.0,3
compatible_dataset_MANX_LLM_MistralSmall4,00741c2869,mathematic,0.3333333333333333,0.6666666666666666,-0.3333333333333333,3
compatible_dataset_MANX_LLM_MistralSmall4,00741c2869,physics,0.3333333333333333,0.3333333333333333,0.0,3
compatible_dataset_MANX_LLM_MistralSmall4,00741c2869,science,1.0,0.0,1.0,3
compatible_dataset_MANX_LLM_MistralSmall4,009976eedd,mathematic,0.0,1.0,-1.0,3
compatible_dataset_MANX_LLM_MistralSmall4,009976eedd,physics,0.3333333333333333,0.6666666666666666,-0.3333333333333333,3
compatible_dataset_MANX_LLM_MistralSmall4,009976eedd,science,0.6666666666666666,0.3333333333333333,0.3333333333333333,3
compatible_dataset_MANX_LLM_MistralSmall4,00c5f2ed3c,mathematic,0.0,1.0,-1.0,3
compatible_dataset_MANX_LLM_MistralSmall4,00c5f2ed3c,physics,0.0,0.3333333333333333,-0.3333333333333333,3
compatible_dataset_MANX_LLM_MistralSmall4,00c5f2ed3c,science,1.0,0.0,1.0,3
compatible_dataset_MANX_LLM_MistralSmall4,00d51e72f8,mathematic,0.0,1.0,-1.0,3
compatible_dataset_MANX_LLM_MistralSmall4,00d51e72f8,physics,0.0,1.0,-1.0,3
compatible_dataset_MANX_LLM_MistralSmall4,00d51e72f8,science,1.0,0.0,1.0,3
compatible_dataset_MANX_LLM_MistralSmall4,00df5086a8,mathematic,0.0,1.0,-1.0,3
compatible_dataset_MANX_LLM_MistralSmall4,00df5086a8,physics,0.0,0.3333333333333333,-0.3333333333333333,3
compatible_dataset_MANX_LLM_MistralSmall4,00df5086a8,science,0.3333333333333333,0.6666666666666666,-0.3333333333333333,3
compatible_dataset_MANX_LLM_MistralSmall4,00e389ef1c,mathematic,0.0,1.0,-1.0,3
compatible_dataset_MANX_LLM_MistralSmall4,00e389ef1c,physics,0.3333333333333333,0.3333333333333333,0.0,3
compatible_dataset_MANX_LLM_MistralSmall4,00e389ef1c,science,0.6666666666666666,0.3333333333333333,0.3333333333333333,3
compatible_dataset_MANX_LLM_MistralSmall4,0152e1574a,mathematic,0.3333333333333333,0.6666666666666666,-0.3333333333333333,3
compatible_dataset_MANX_LLM_MistralSmall4,0152e1574a,physics,0.3333333333333333,0.3333333333333333,0.0,3
compatible_dataset_MANX_LLM_MistralSmall4,0152e1574a,science,1.0,0.0,1.0,3
compatible_dataset_MANX_LLM_MistralSmall4,015d22ee6d,mathematic,0.0,1.0,-1.0,2
compatible_dataset_MANX_LLM_MistralSmall4,015d22ee6d,physics,0.0,1.0,-1.0,2
compatible_dataset_MANX_LLM_MistralSmall4,015d22ee6d,science,1.0,0.0,1.0,2
compatible_dataset_MANX_LLM_MistralSmall4,0187012f51,mathematic,0.0,1.0,-1.0,3
compatible_dataset_MANX_LLM_MistralSmall4,0187012f51,physics,0.0,0.3333333333333333,-0.3333333333333333,3
compatible_dataset_MANX_LLM_MistralSmall4,0187012f51,science,1.0,0.0,1.0,3
compatible_dataset_MANX_LLM_MistralSmall4,02139f5130,mathematic,0.0,1.0,-1.0,3
compatible_dataset_MANX_LLM_MistralSmall4,02139f5130,physics,0.3333333333333333,0.3333333333333333,0.0,3
compatible_dataset_MANX_LLM_MistralSmall4,02139f5130,science,1.0,0.0,1.0,3
compatible_dataset_MANX_LLM_MistralSmall4,021593f7d0,mathematic,0.0,1.0,-1.0,3
compatible_dataset_MANX_LLM_MistralSmall4,021593f7d0,physics,0.3333333333333333,0.3333333333333333,0.0,3
compatible_dataset_MANX_LLM_MistralSmall4,021593f7d0,science,1.0,0.0,1.0,3
compatible_dataset_MANX_LLM_MistralSmall4,02172d8823,mathematic,0.0,1.0,-1.0,3
compatible_dataset_MANX_LLM_MistralSmall4,02172d8823,physics,0.0,0.3333333333333333,-0.3333333333333333,3
compatible_dataset_MANX_LLM_MistralSmall4,02172d8823,science,1.0,0.0,1.0,3
compatible_dataset_MANX_LLM_MistralSmall4,023aa677be,mathematic,0.0,1.0,-1.0,3
compatible_dataset_MANX_LLM_MistralSmall4,023aa677be,physics,0.3333333333333333,0.3333333333333333,0.0,3
compatible_dataset_MANX_LLM_MistralSmall4,023aa677be,science,1.0,0.0,1.0,3
compatible_dataset_MANX_LLM_MistralSmall4,02430809d4,mathematic,0.0,1.0,-1.0,3
